Year,price_to_earning,price_to_book,dividend,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth,ticker,value_before_ebitda,days_receivable,days_inventory,days_payable,ebit_on_interest,current_payment,quick_payment,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,ebitda_on_stock_change
2023,18.8,4.9,0.024,0.281,0.116,4394,16976,,,,,,0.414,,,1.0,0.218,2.4,,,,,,,,,1.0,,0.187,,FPT,14.6,47.0,20.0,33.0,10.2,1.2,1.2,9073.0,0.386,0.161,0.123,0.5,0.2,1.2,66.5,7054.0,0.277,0.059,34.0,7.8,-0.292,0.9,0.7,0.161,1.1,0.054
2022,15.5,3.9,0.036,0.272,0.101,3609,14306,,,,,,0.407,,,1.0,0.057,2.5,,,,,,,,,1.0,,0.013,,FPT,12.3,49.0,24.0,41.0,10.5,1.3,1.2,8608.0,0.39,0.154,0.121,0.5,0.2,1.9,7.4,6417.0,0.254,0.074,32.0,7.5,-0.267,0.9,0.7,0.154,1.1,0.031
2021,18.9,4.6,0.031,0.258,0.091,3415,14127,,,,,,0.334,,,0.7,0.059,3.0,,,,,,,,,1.5,,-0.016,,FPT,16.5,42.0,23.0,47.0,11.2,1.2,1.1,8346.0,0.382,0.152,0.122,0.9,0.4,2.3,7.8,5357.0,0.253,0.054,19.0,8.6,-0.28,0.7,0.7,0.152,1.2,0.001
2020,12.7,2.9,0.049,0.238,0.094,3225,14352,,,,,,0.377,,,0.8,-0.067,2.7,,,,,,,,,1.2,,-0.067,,FPT,12.4,35.0,26.0,55.0,11.9,1.1,1.1,8336.0,0.396,0.154,0.119,0.7,0.3,1.7,17.8,2901.0,0.252,0.072,6.0,10.3,-0.363,0.7,0.7,0.154,1.1,-0.021
2019,12.0,2.7,0.048,0.237,0.099,3455,15388,,,,,,0.418,,,1.0,0.197,2.4,,,,,,,,,1.0,,0.12,,FPT,7.8,75.0,28.0,55.0,11.6,1.2,1.1,8516.0,0.386,0.15,0.113,0.5,0.2,1.3,21.5,2877.0,0.206,0.1,48.0,4.9,-0.432,0.8,1.5,0.15,1.1,0.137
2018,9.1,1.9,0.2,0.219,0.096,2887,13744,,,,,,0.419,,,1.0,-0.106,2.4,,,,,,,,,1.0,,0.091,,FPT,8.4,83.0,30.0,59.0,13.1,1.3,1.2,7490.0,0.376,0.134,0.113,0.5,0.2,1.4,18.0,3955.0,0.266,0.128,54.0,4.4,-0.377,0.8,1.5,0.134,1.2,-0.118
2017,9.1,2.3,0.25,0.28,0.107,3230,12594,,,,,,0.457,,,1.1,0.473,2.2,,,,,,,,,0.9,,0.2,,FPT,8.0,42.0,31.0,37.0,8.6,1.4,1.4,8494.0,0.227,0.074,0.069,0.4,0.2,1.7,7.3,4960.0,0.263,0.114,36.0,8.7,-0.21,1.7,1.5,0.074,1.3,-0.086
2016,8.6,1.8,0.2,0.22,0.071,2193,10496,,,,,,0.319,,,0.6,0.031,3.1,,,,,,,,,1.6,,0.11,,FPT,6.4,43.0,58.0,39.0,8.1,1.3,1.0,9293.0,0.213,0.077,0.05,0.9,0.3,2.4,12.6,4479.0,0.525,0.28,61.0,8.5,-0.312,1.3,1.5,0.077,1.0,-0.061
2015,8.1,1.8,0.2,0.234,0.079,2127,9455,,,,,,0.329,,,0.6,0.183,3.0,,,,,,,,,1.6,,0.084,,FPT,6.7,40.0,59.0,34.0,11.2,1.3,0.9,9893.0,0.197,0.077,0.051,0.9,0.3,2.1,13.3,3991.0,0.352,0.185,65.0,9.0,-0.487,1.5,1.5,0.077,1.0,0.063
2014,,,0.2,0.216,0.081,1798,8720,,,,,,0.349,,,0.7,0.015,2.9,,,,,,,,,1.4,,0.284,,FPT,6.1,42.0,55.0,34.0,14.1,1.3,0.9,9309.0,0.19,0.072,0.05,0.7,0.3,1.9,47.2,3739.0,0.468,0.263,62.0,8.6,-0.436,1.4,1.5,0.072,1.1,-0.08
